Working Group,Members
Geospatial IG,"Aaron Addison, 
Adam Leadbetter, 
Adam Shepherd, 
Adrian Tear, 
Alexandra Archibald (MSc), 
Amir Pourabdollah, 
Amy Hodge, 
Andrea Westerinen, 
Andrea Perego, 
Andrew Harrison, 
Andrew Hunter, 
Andy Turner, 
Anne Thessen, 
Anthony Beck, 
Antonie Haas, 
Ari Jolma, 
Barbara Entwisle, 
Barend KÌ_bben, 
Ben Evans, 
Benjamin Gross, 
Bente Lilja Bye, 
Charles Vardeman II, 
Chris Badurek, 
Chris Pettit, 
Christian SchÌ_fer-Neth, 
Christine Malinowski, 
Christoph Stich, 
Christophe Debruyne, 
Christopher Crosby, 
Chrysi Tsinaraki, 
Claire Ellul, 
Conor Smyth, 
Dawn Wright, 
Didier Richard, 
Didier Leibovici, 
Dietrich Schroeder, 
Dimitra Mavraki, 
Dimitrios Koureas, 
DraÅ_en Tuti€à, 
Erich Seamon, 
Gary Berg-Cross, 
Georg Gartner, 
George Percivall, 
Glen Hart, 
Godwin Yeboah, 
Gregory Giuliani, 
Helena Mitasova, 
Heli VÌ_Ì_tÌ_jÌ_, 
Herman Stehouwer, 
Hermann Klug, 
HervÌ© L'Hours, 
Hyoungjoo Park, 
Ionut Iosifescu, 
J. Y., 
Jason Sadler, 
JÌ_rg Meyer, 
Jorge Gil, 
Kate Lance, 
Kevin Dyke, 
Kwo-Sen Kuo, 
Laura Kostanski, 
Luciene Delazari, 
Lucy Bastin, 
Mahroof M, 
Maria Krestyaninova, 
Maria Brovelli, 
Marius Appel, 
Mark Gahegan, 
Martin Hammitzsch, 
Michael Finn, 
Mike Brown, 
Mike Jackson, 
Mohammed Abdur Razzak, 
Murat Komesli, 
Parinaz Ameri, 
Peng Yue, 
Peter Baumann, 
Phil James, 
Phillip Delaney, 
Pouria Amirian, 
Reinhard Budich, 
Robert Jeansoulin, 
Robert Berry, 
Roger Longhorn, 
Sandra Vieira Gomes, 
Sandro Fiore, 
Seraphim Alvanides, 
Serena Coetzee, 
Sharlynn Sweeney, 
Shiva Khanal, 
Simon Cox, 
Steven Chong, 
Steven Morris, 
Suchith Anand, 
Sylvia Ofosua Adjei, 
Thierry Badard, 
Timea Biro, 
Tobias Weigel, 
Tony Mathys, 
Tuong-Thuy Vu, 
Vincent Razanajao, 
Vyron Antoniou, 
Xiaogang Ma, 
Zhijie Zhang, "
Libraries for Research Data IG,"Adam Farquhar, 
Amy Barton, 
Amy Hodge, 
Amy Nurnberger, 
Ana van Meegen, 
Andrea Ogier, 
Andrew Johnson, 
Angelina Kraft, 
Anna Clements, 
Annemiek van der Kuil, 
Anton Angelo, 
Birgit Schmidt, 
Brian Westra, 
Carole Palmer, 
Caroline Martin, 
Celia Emmelhainz, 
Charles (Chuck) Humphrey, 
Cheryl Thompson, 
Christian Rohrer, 
Christine Malinowski, 
Chrysi Tsinaraki, 
Coline Blanpain, 
Cynthia Hudson Vitale, 
Dale Peters, 
David Wilcox, 
Devika Madalli, 
Donatella Castelli, 
Dong Joon Lee, 
Effie Tsiflidou, 
Eileen Harrington, 
Elizabeth Krznarich, 
Ellen Verbakel, 
Eva MÌ©ndez, 
Fred Chan, 
Hannah Baker, 
Hannah Norton, 
Herman Stehouwer, 
HervÌ© L'Hours, 
Imma Subirats Coll, 
Jane Greenberg, 
Jason Baird Jackson, 
Jean Bernard Minster, 
Jennifer Green, 
Jennifer Dewar, 
Jeremy Geelen, 
Jeroen Rombouts, 
Jochen Schirrwagen, 
Joe HourclÌ©, 
John Kunze, 
Joseph Tennis, 
Julie Fukuyama, 
Julie Speer, 
Katherine McNeill, 
Katherine Koziar, 
Kathleen Matthews, 
Kathleen Shearer, 
Kei Kurakawa, 
Kevin Ashley, 
Kristin Antelman, 
Laura Soito, 
Laura Molloy, 
Laurence Horton, 
Laurents Sesink, 
Liisi Lembinen, 
Lilian Neerut, 
Lisa Zilinski, 
Lisa Raymond, 
Live Kvale, 
Maaike Messelink, 
Malcolm Wolski, 
Maria Kinger, 
Marianne van der Heijden, 
MariÌÇtte van Selm, 
Mark Leggott, 
Martin Donnelly, 
Martin Hammitzsch, 
Masaki AIHARA, 
Michael Witt, 
Miguel-Angel Sicilia, 
Mike Fortun, 
Mogens Sandfaer, 
Najla Rettberg, 
Nancy Faget, 
Naoyuki Tsunematsu, 
Natalie Meyers, 
Natasha Bulatovic, 
Nuno Freire, 
Odile Hologne, 
Patrice Ajai-Ajagbe, 
Paul Uhlir, 
Peter Loewe, 
Philipp Conzett, 
Rachael Black, 
Reid Otsuji, 
Rick Johnson, 
Robert McDonald, 
Robin Rice, 
Sally Rumsey, 
Sam Searle, 
Sarah Pickle, 
Sharlynn Sweeney, 
Solomon Mekonnen Tekle, 
Stefan Kramer, 
Stephanie Wright, 
Steve Brewer, 
Steven Chong, 
Stuart Macdonald, 
Susan Braxton, 
Susan Reilly, 
Sven Vlaeminck, 
Takuya Kurashige, 
Therese Skagen, 
Tiiu Tarkpea, 
Timea Biro, 
Todd Carpenter, 
Tomas LundÌ©n, 
Uli Hahn, 
Vassilis Protonotarios, 
Wendy Kozlowski, 
Wolfram Horstmann, 
Xiaoli Li, 
Yolanda Meleco, 
Yui Nishizono, 
Zaven Akopov, 
Zhijie Zhang, "
Long tail of research data IG,"A. Chase Turner, 
Ajinkya Prabhune, 
Alejandra Gonzalez-Beltran, 
Alessandro Sarretta, 
Alessia Bardi, 
Alex Wade, 
Alicia Lopez Medina, 
Amalie SÌügaard Nielsen, 
Amy Barton, 
Amy Hodge, 
Amy Nurnberger, 
Ana van Meegen, 
Andre Schaaff, 
Andrea Ogier, 
Andreas Rauber, 
Angelina Kraft, 
Angus Whyte, 
Ann Green, 
Anna Clements, 
Anne Thessen, 
Annemiek van der Kuil, 
Artemis Lavasa, 
Arturo H. AriÌ±o, 
Barry Wark, 
Birgit Schmidt, 
Brian Westra, 
Brigitte Joerg, 
Catherine Pink, 
Celia Emmelhainz, 
Cheryl Thompson, 
Chris Taylor, 
Christian SchÌ_fer-Neth, 
Christian Rohrer, 
Christine Staiger, 
Christopher Brown, 
Chrysi Tsinaraki, 
Colin J Wright, 
Cord Wiljes, 
Cynthia Hudson Vitale, 
Dagmar Meyer, 
Dale Peters, 
Daniel Mallmann, 
David Wang, 
David Wilcox, 
Dessi Kirilova, 
Dharma Akmon, 
Dimitrios Koureas, 
Donatella Castelli, 
Elizabeth Hull, 
Eloy Rodrigues, 
Eric Maris, 
Fabio Galatioto, 
Fabrizio Gagliardi, 
Francoise Genova, 
Franziska Ackermann, 
Gail Clement, 
HÌ´kan Grudd, 
Hannes Thiemann, 
Hans van Piggelen, 
Hans Pfeiffenberger, 
Haralambos Marmanis, 
Herbert Gruttemeier, 
Herman Stehouwer, 
Hilary Davis, 
Inna Kouper, 
James Wilson, 
Javier Otegui, 
Jeffrey Grethe, 
Jennifer Green, 
Jennifer Dewar, 
Jeremy Cope, 
Jessica Forsgard, 
Jochen Schirrwagen, 
John Kaye, 
John Kratz, 
Jonathan Tedds, 
Jos van Wezel, 
Julia Collins, 
Julie Fukuyama, 
Julie Speer, 
Kashif Iqbal, 
Katharina Mueller, 
Katherine McNeill, 
Kathleen Shearer, 
Kei Kurakawa, 
Kendall Roark, 
Kerstin Konitzer, 
Kerstin Lehnert, 
Kevin Ashley, 
Kimmo Koskinen, 
Laura Molloy, 
Laurie Taylor, 
Leonardo Candela, 
Lesley Wyborn, 
Libbie Stephenson, 
Luca Di Fiore, 
Marco Fahmi, 
Marie-Christine Jacquemot-Perbal, 
MariÌÇtte van Selm, 
Mark Leggott, 
Mark Parsons, 
Markus Binsteiner, 
Martha Whitehead, 
Martin Hammitzsch, 
Matthew Viljoen, 
Matthias Razum, 
Melissa Cragin, 
Meredith Jacob, 
Mike Fortun, 
Mostafa Elag, 
Najla Rettberg, 
Natalia Manola, 
Natalie Meyers, 
Paola Bongiovani, 
Paolo Manghi, 
Patrice Ajai-Ajagbe, 
Paul Bern, 
Peter Baker, 
Ralph MÌ_ller-Pfefferkorn, 
Robert Hanisch, 
Robin Rice, 
Rolando Milian, 
Sarah Judson, 
Scott Brander, 
Sebastian Palucha, 
Sherry Lake, 
Simon Hodson, 
Stefan Kramer, 
Stephanie Wright, 
Steven McEachern, 
Suchith Anand, 
Sven Vlaeminck, 
Thorny Staples, 
Tim Hasler, 
Tim Smith, 
Timea Biro, 
Tom Cramer, 
Tomas LundÌ©n, 
Uli Hahn, 
Veerle Van den Eynden, 
Ville Tenhunen, 
Wendy Kozlowski, 
Wolfgang Zenk-MÌ_ltgen, 
Wolfram Horstmann, 
Xiaobin Shen, 
Zoran Bekic, "
Marine Data Harmonization IG,"Adam Shepherd, 
Adam Leadbetter, 
Albert Heyrovsky, 
Alessandro Sarretta, 
Ana Macario, 
Andreas Czerniak, 
Andrew MAFFEI, 
Andrew Treloar, 
Anne Thessen, 
Anton Ellenbroek, 
Anton Van de Putte, 
BenoÌ¨t Pirenne, 
Bernard Avril, 
Beth Massa, 
Cynthia Chandler, 
Dave Connell, 
Dawn Wright, 
Dimitrios Koureas, 
Donatella Castelli, 
Francine Berman, 
Francis Strobbe, 
Georgios Kakaletris, 
Helen Glaves, 
Herman Stehouwer, 
Hilary Hanahoe, 
Inna Kouper, 
Karen Stocks, 
Leif Laaksonen, 
Lisa Raymond, 
Mark Leggott, 
Mark Filipiak, 
Maurice Levie, 
Michelle Leonard, 
Nancy Galbraith, 
Nicolas Bailly, 
Peter Pissierssens, 
Pilar Cos Alvarez, 
Rainer Stotzka, 
Reyna Jenkyns, 
Robert Arko, 
Roger Longhorn, 
Roger Proctor, 
Sarah Dister, 
Shannon Rauch, 
Simon Cox, 
Stefanie Kethers, 
Suchith Anand, 
Timea Biro, 
Tobias Spears, 
Toru Suzuki, 
Ward Appeltans, "
Metabolomics Data Interoperability IG,"Alejandra Gonzalez-Beltran, 
Antonio Rosato, 
Axel Schumacher, 
brett johnson, 
Christoph Steinbeck, 
Cynthia Chandler, 
Herman Stehouwer, 
Katrine Whiteson, 
Kenneth Haug, 
Oya Beyan, 
Reza Salek, 
Robert Davidson, 
Shivshankar Umashankar, 
Timea Biro, "
Metadata IG,"Adam Leadbetter, 
Ajinkya Prabhune, 
Albert Heyrovsky, 
Alejandra Gonzalez-Beltran, 
Alex Ball, 
Alun Preece, 
Amalie SÌügaard Nielsen, 
Amy Barton, 
Amy Hodge, 
Amy Nurnberger, 
Ana van Meegen, 
Andrea Westerinen, 
Andrea Perego, 
Andrea Medina-Smith, 
Andreas Harth, 
Andrew Treloar, 
Anna Milan, 
Arthur Smith, 
Axel Schumacher, 
Ben Scott, 
Bernard Schutz, 
Brandon Costelloe-Kuehn, 
Brian Westra, 
Brigitte Joerg, 
Brigitte Hausstein, 
Carlos Iglesias, 
Charles Vardeman II, 
Chris Taylor, 
Christina Hoppermann, 
Christine Malinowski, 
Christine Staiger, 
Chrysi Tsinaraki, 
Cord Wiljes, 
Cynthia Hudson Vitale, 
Dagmar Meyer, 
Dana Ernst, 
Darren Bell, 
Dave Lyons, 
Dave Connell, 
David King, 
Dessi Kirilova, 
Didier Leibovici, 
Dimitrios Koureas, 
Erik Radio, 
Francine Berman, 
Frank Toussaint, 
Garret McMahon, 
Gary Berg-Cross, 
Godwin Yeboah, 
HÌ´kan Grudd, 
Hannes Thiemann, 
Helen Glaves, 
Herman Stehouwer, 
HervÌ© L'Hours, 
Hilary Hanahoe, 
Ian Fore, 
Imma Subirats Coll, 
Jane Frazier, 
Jane Greenberg, 
Jeffrey Grethe, 
Jennifer Dewar, 
Joachim Wackerow, 
Joan Starr, 
John Westbrook, 
Jon Johnson, 
Juha Muilu, 
Juliane Schneider, 
Julie Fukuyama, 
Kashif Iqbal, 
Kathleen Shearer, 
Katie Dunn, 
Keith Jeffery, 
Kevin Ashley, 
Lars G. Svensson, 
Laura Bartolo, 
Lauren Intagliata, 
Leif Laaksonen, 
Libbie Stephenson, 
Lukasz Bolikowski, 
Mahroof M, 
Marie-Christine Jacquemot-Perbal, 
Marion Wittenberg, 
Mark Musen, 
Mark Parsons, 
Mark Leggott, 
Martin Hammitzsch, 
Matthias L. Hemmje, 
Nikos Houssos, 
Nuno Freire, 
Panorea Gaitanou, 
Paul Foster, 
Qing Liu, 
Quentin Reul, 
Ralph MÌ_ller-Pfefferkorn, 
Rebecca Koskela, 
Richard Kipling, 
Richard Kedemi, 
Robert Hanisch, 
Rolando Milian, 
San Cannon, 
Sarah Ramdeen, 
Scott Carlson, 
Scott Brander, 
Sebastian Palucha, 
Sherry Lake, 
Simon Cox, 
Siobhann McCafferty, 
Siri Jodha Khalsa, 
Sophie Hou, 
Stefanie Kethers, 
Stein Tronstad, 
Stephen Richard, 
Steven Lynden, 
Susan Braxton, 
Susanna-Assunta Sansone, 
Tanja Friedrich, 
Ted Habermann, 
Thomas Radman, 
Timea Biro, 
Tobias Spears, 
Todd Carpenter, 
Volker Hartmann, 
Wolfgang Zenk-MÌ_ltgen, 
Xiaogang Ma, 
Xiaoli Li, "
National Data Services,"Adrian Burton, 
Amir Aryani, 
Kevin Ashley, 
Linda Naughton, 
Nick Jones, 
Solomon Mekonnen Tekle, 
Stefanie Kethers, "
PID IG,"Adam Farquhar, 
Adrian Burton, 
Amir Aryani, 
Amy Hodge, 
Arjan Hogenaar, 
Chris Taylor, 
Christopher Brown, 
Chrysi Tsinaraki, 
Cynthia Chandler, 
Cynthia Hudson Vitale, 
David Baker, 
Donat Agosti, 
Dong Joon Lee, 
Emanuele Bellini, 
Esa-Pekka Keskitalo, 
Frank Toussaint, 
HÌ´kan Grudd, 
Herman Stehouwer, 
HervÌ© L'Hours, 
Ingemar HÌ_ggstrÌ_m, 
Jeffrey Grethe, 
Jingbo Wang, 
Joachim Wackerow, 
Julie Speer, 
Kevin Ashley, 
Lars G. Svensson, 
Laurel Haak, 
Lukasz Bolikowski, 
Mark Donoghue, 
Martin Hammitzsch, 
Melissa Haendel, 
Michael Witt, 
Patricia Herterich, 
Rachael Black, 
Rob Baxter, 
Sandro Fiore, 
Stefan Proell, 
Stephen Wolff, 
Timea Biro, 
Tobias Weigel, 
Todd Carpenter, 
Wendy Kozlowski, 
Zoran Bekic, "
Preservation e-Infrastructure IG,"Adi Alter, 
Andre Schaaff, 
Andrea Perego, 
Andreas Rauber, 
Andrew Treloar, 
Barbara Sierman, 
Bridget Almas, 
Christina Drummond, 
Christoph Becker, 
Chrysi Tsinaraki, 
Danah Tonne, 
David AntoÅÁ, 
David Giaretta, 
Esther Conway, 
Francine Berman, 
Giuseppe Fiameni, 
Hannes Thiemann, 
Helen Glaves, 
Herman Stehouwer, 
HervÌ© L'Hours, 
Hilary Hanahoe, 
Holger Brocks, 
Jakub Peisar, 
Jamie Shiers, 
Jan HornÌ_€çek, 
Jaroslaw Nabrzyski, 
JESUS MARCO DE LUCAS, 
Joel Wurl, 
Jos van Wezel, 
Julia Collins, 
Katie Dunn, 
Klaus Rechert, 
Kostiantyn Yefremov, 
Lars G. Svensson, 
Leif Laaksonen, 
Lesley Wyborn, 
Libbie Stephenson, 
Lukasz Bolikowski, 
Maggi Marcello, 
Mark Parsons, 
Mark Leggott, 
Martie van Deventer, 
Martin Hammitzsch, 
Matthew Viljoen, 
Matthias L. Hemmje, 
Maurice Levie, 
Michael Hildreth, 
Natalie Meyers, 
Nick Krabbenhoeft, 
Oliver Schmitt, 
Pablo de Castro, 
Peter Pissierssens, 
Petr Benedikt, 
pierre le sidaner, 
Rainer Stotzka, 
Ralph MÌ_ller-Pfefferkorn, 
Reagan Moore, 
Rob Hooft, 
Robert Hanisch, 
Robert Downs, 
Ruth Duerr, 
Sandra Collins, 
Sarah Ramdeen, 
Sherry Lake, 
Simon Berriman, 
Simon Waddington, 
Simon Cox, 
Stefanie Kethers, 
Steven McEachern, 
Suchith Anand, 
Susan Braxton, 
Tim Smith, 
Timea Biro, 
Tuomas J. AlaterÌ_, 
Ville Tenhunen, 
Wolfgang Zenk-MÌ_ltgen, 
Zhijie Zhang, 
Zoran Bekic, "
Quality of Urban Life Interest Group,"Charalampos Thanopoulos, 
Chris Pettit, 
Christoph Stich, 
Chrysi Tsinaraki, 
Elizabeth Griffin, 
Georg Gartner, 
Godwin Yeboah, 
Greg Foliente, 
Herman Stehouwer, 
Jane Hunter, 
Jorge Gil, 
Jose M Paez, 
Joseph Frank, 
Kate Scrivens, 
Malcolm Wolski, 
Mark Fox, 
Max Craglia, 
Melanie Davern, 
Nick Casey, 
Pascal Perez, 
Peter Fox, 
Phillip Delaney, 
Piret Veeroja, 
Piyushimita (Vonu) Thakuriah, 
Raul Marino, 
Robert Quick, 
Robert Tanton, 
Seraphim Alvanides, 
Simon Cox, 
Sonia Stefanizzi, 
Stefanie Lewis, 
Stefanie Kethers, 
Suchith Anand, 
Thomas Blaschke, 
Timea Biro, 
Tracey P. Lauriault, 
Yolanda Meleco, "
RDA/CODATA Legal Interoperability IG,"Andrew Treloar, 
Andy Turner, 
Baden Appleyard, 
Ben Evans, 
Benjamin White, 
Catherine Doldirina, 
Chris Morris, 
Christoph Bruch, 
Dagmar Meyer, 
Donat Agosti, 
ENRIQUE ALONSO GARCIA, 
Francine Berman, 
Frank Toussaint, 
Gail Clement, 
Garret McMahon, 
Geneva Henry, 
Herbert Gruttemeier, 
Herman Stehouwer, 
HervÌ© L'Hours, 
Hilary Hanahoe, 
Jean Bernard Minster, 
Jingbo Wang, 
Kevin Ashley, 
Leif Laaksonen, 
Lesley Wyborn, 
Libby Bishop, 
Lisa Neidert, 
Maria Llosent, 
Mark Gahegan, 
Mark Parsons, 
Mark Leggott, 
Martin Hammitzsch, 
Melissa Levine, 
Meredith Jacob, 
Natalia Manola, 
Patrice Lyons, 
Paul Uhlir, 
Peter Fox, 
Prodromos Tsiavos, 
Richard Hosking, 
Rob Baxter, 
Robert Chen, 
Simon Hodson, 
Simon Hodson, 
Stefanie Kethers, 
Suchith Anand, 
Tim Duffy, 
Tim Smith, 
Timea Biro, 
Todd Carpenter, 
Tracey P. Lauriault, 
Tyng-Ruey Chuang, 
Ward Appeltans, 
Willi Egloff, "
"RDA/CODATA Materials Data, Infrastructure & Interoperability IG","Arthur Smith, 
Ashley White, 
Charles Ward, 
David Skinner, 
Erica Yang, 
Gopal Rao, 
HervÌ© L'Hours, 
Hilary Hanahoe, 
Ian Foster, 
James Warren, 
Jane Hunter, 
Jane Greenberg, 
John Henry Scott, 
Kana Asano, 
Kimberly Tryka, 
Laura Bartolo, 
Margaret Hedstrom, 
Mark Parsons, 
Peter Fox, 
Richard Kidd, 
Robert Hanisch, 
Scott Henry, 
Simon Hodson, 
Talapady Bhat, 
Tim Austin, 
Timea Biro, 
Toshihiro Ashino, 
Xiaogang Ma, "
RDA/WDS Certification of Digital Repositories IG,"Adi Alter, 
Andrea Perego, 
Andreas Rauber, 
Andrew Treloar, 
Barbara Sierman, 
Chris Taylor, 
Cynthia Chandler, 
Dagmar Meyer, 
Francine Berman, 
Francoise Genova, 
Frank Toussaint, 
Garret McMahon, 
Godwin Yeboah, 
HÌ´kan Grudd, 
Hannes Thiemann, 
Hans van Piggelen, 
Herman Stehouwer, 
HervÌ© L'Hours, 
Hilary Hanahoe, 
Ingrid Dillo, 
Jane Mandelbaum, 
Janez ÅÊtebe, 
Jeffrey Grethe, 
Johannes Reetz, 
John Garrett, 
Jos van Wezel, 
Katie Dunn, 
Kevin Ashley, 
Kostiantyn Yefremov, 
Laurie Taylor, 
Leif Laaksonen, 
Lesley Wyborn, 
LETICIA LIZONDO, 
Libbie Stephenson, 
Lukasz Bolikowski, 
Maria A. Krestyaninova, 
Martin Hammitzsch, 
Martina Stockhause, 
Mary Vardigan, 
Mary Moulton, 
Michael Diepenbroek, 
Michelle Leonard, 
Mustapha Mokrane, 
Natascha Schumann, 
Peggy Schaeffer, 
Peter Pissierssens, 
Rebecca Grant, 
Robert McDonald, 
Robert Arko, 
Robert Downs, 
Rorie Edmunds, 
Sarah Callaghan, 
Simon Hodson, 
Siobhann McCafferty, 
Stefanie Kethers, 
Stein Tronstad, 
Stephane Coutin, 
Susanna-Assunta Sansone, 
Tim Hasler, 
Timea Biro, 
Tuomas J. AlaterÌ_, 
Zoran Bekic, "
RDA/WDS Publishing Data Cost Recovery for Data Centres,"Allen Dearry, 
Anita de Waard, 
Barbara Sierman, 
Christina Elsenga, 
Christopher Jung, 
Dagmar Meyer, 
Eefke Smit, 
Fotis Karagiannis, 
Francis Strobbe, 
Frank Toussaint, 
Herman Stehouwer, 
HervÌ© L'Hours, 
Hylke Koers, 
Ian Bruno, 
Ingrid Dillo, 
Jennie Larkin, 
Jerome Pansanel, 
Jonathan Tedds, 
Kashif Iqbal, 
Kenji Takeda, 
Kerstin Konitzer, 
Kerstin Lehnert, 
Lesley Wyborn, 
Martina Stockhause, 
Megan Stadler, 
Melissa Cragin, 
Meredith Morovati, 
Michael Diepenbroek, 
Michael Ball, 
Mustapha Mokrane, 
Robert Davidson, 
Rorie Edmunds, 
Ryan Scherle, 
Sarah Callaghan, 
Simon Hodson, 
Stephanie Wright, 
Suenje DT, 
Timea Biro, "
RDA/WDS Publishing Data IG,"Alan Williams, 
Alejandra Gonzalez-Beltran, 
Amalie SÌügaard Nielsen, 
Amir Aryani, 
Amy Nurnberger, 
Amye Kenall, 
AndrÌÁs Micsik, 
Andrea Perego, 
Andreas Rauber, 
Andrew Treloar, 
Anna Clements, 
Annemiek van der Kuil, 
Arthur Smith, 
Barbara Sierman, 
Brian Matthews, 
Brigitte Joerg, 
Bruce Caron, 
Carlos Iglesias, 
Carly Strasser, 
Carole Goble, 
Chris Taylor, 
Chrysi Tsinaraki, 
Chuang Liu, 
Cynthia Chandler, 
Dagmar Meyer, 
Dave Lyons, 
David Wang, 
Donatella Castelli, 
Dong Joon Lee, 
Eefke Smit, 
Elena Simukovic, 
Elizabeth Newbold, 
Francine Berman, 
Francis Strobbe, 
Frank Toussaint, 
Gail Clement, 
Garret McMahon, 
Godwin Yeboah, 
Hannelore Vanhaverbeke, 
Haralambos Marmanis, 
Herbert Gruttemeier, 
Herman Stehouwer, 
HervÌ© L'Hours, 
Hilary Hanahoe, 
Hylke Koers, 
Ian Bruno, 
Ingemar Gunnarsson, 
Ingrid Dillo, 
Inna Kouper, 
Irene Pasquetto, 
Jason Baird Jackson, 
Jeffrey Grethe, 
Jeremy Cope, 
Jingbo Wang, 
Jochen Schirrwagen, 
John Helly, 
John Kratz, 
Jonathan Tedds, 
Julia Collins, 
Julie Fukuyama, 
Kate Roberts, 
Katie Dunn, 
Kerstin Konitzer, 
Kerstin Lehnert, 
Kevin Ashley, 
Kimberly Tryka, 
Kostiantyn Yefremov, 
Larry Lannom, 
Lauren Intagliata, 
Laurie Taylor, 
Laurie Goodman, 
Leif Laaksonen, 
Lisa Zilinski, 
Lisa Raymond, 
Lukasz Bolikowski, 
Mark Leggott, 
Mark Parsons, 
Martin Hammitzsch, 
Martina Stockhause, 
Michael Diepenbroek, 
Mikael Laakso, 
Mike Rossner, 
Miriam Casula, 
Mustapha Mokrane, 
Nandana Mihindukulasooriya, 
Natalia Manola, 
Nikos Houssos, 
Paolo Manghi, 
Paul Foster, 
Peter Kraker, 
Peter Pennefather, 
Peter Pissierssens, 
Rainer Stotzka, 
Rebecca Lawrence, 
Richard Kidd, 
Robert Hanisch, 
Robert Downs, 
Rorie Edmunds, 
Ruth Wilson, 
Sarah Callaghan, 
Sebastian Palucha, 
Sergio Ruiz, 
Simon Hodson, 
Simon Hodson, 
Stefan Proell, 
Stefanie Kethers, 
Stephanie Wright, 
Stephanie Holmgren, 
Suenje DT, 
Susanna-Assunta Sansone, 
Tanja Friedrich, 
Theodora Bloom, 
Tim Austin, 
Tim Smith, 
Timea Biro, 
Tobias Spears, 
Todd Carpenter, 
Toshihiro Ashino, 
Uli Hahn, 
Veerle Van den Eynden, 
Ward Appeltans, 
Xiaogang Ma, 
XiaoXuan Wang, 
Zhijie Zhang, 
Zoran Bekic, "
Repository Platforms for Research Data,"Adi Alter, 
Ajinkya Prabhune, 
Alisdair Davey, 
Amber Leahey, 
Andreas Rauber, 
Barbara Lafuente, 
Chenzhou Cui, 
Claire Austin, 
Dagmar Meyer, 
David Wilcox, 
Eric Maris, 
Esther DZALE YEUMO KABORE, 
Franziska Ackermann, 
Fred Chan, 
Guido Aben, 
Hans van Piggelen, 
Jeff Teeters, 
Jill Kowalchuk, 
John Kunze, 
Jos van Wezel, 
Juliane Schneider, 
Kathleen Fontaine, 
Limor Peer, 
Lisa Zilinski, 
Malcolm Wolski, 
Mark van de Sanden, 
Markus Binsteiner, 
Matthew Turk, 
Natalie Meyers, 
Nathan Stone, 
Rainer Stotzka, 
Ralph MÌ_ller-Pfefferkorn, 
Reagan Moore, 
Robert Downs, 
Roland Koppe, 
Shiva Khanal, 
Sridhar Gutam, 
Stefan Kramer, 
Thomas Jejkal, 
Tim Smith, 
Uli Hahn, 
Vassilis Protonotarios, 
Ville Tenhunen, 
Wendy Kozlowski, 
Yui Nishizono, "
Reproducibility IG,"Adam Leadbetter, 
Amy Hodge, 
Andrea Ogier, 
Andrew Davison, 
Bernard Schutz, 
Chrysi Tsinaraki, 
Cord Wiljes, 
Dagmar Meyer, 
Daniel S. Katz, 
David Dubin, 
Eric Maris, 
Herman Stehouwer, 
Ian Bruno, 
Jamie Shiers, 
Jean-Baptiste Bohuon, 
Jeffrey Grethe, 
Jonathan Tedds, 
Kathleen Fontaine, 
Kenji Takeda, 
Libbie Stephenson, 
Limor Peer, 
Line Pouchard, 
Matthew Jones, 
Matthew Turk, 
Megan Stadler, 
Michael Hildreth, 
Richard McClatchey, 
Rudolf Mayer, 
Sherry Lake, 
Shiva Khanal, 
Sven Vlaeminck, 
Timea Biro, 
Tomasz Miksa, 
Victoria Stodden, 
Wendy Kozlowski, "
Research data needs of the Photon and Neutron Science community,"Alexander Vondrous, 
Alistair Mills, 
Amber Boehnlein, 
Brian Matthews, 
Chris Jacobsen, 
David Skinner, 
Dietmar HerrendÌ_rfer, 
Dilworth Parkinson, 
Doris Ressmann, 
Erica Yang, 
Francesco De Carlo, 
Frank Schluenzen, 
Guy Marcus, 
Herman Stehouwer, 
Ian Foster, 
Jean-FranÌ_ois Perrin, 
Joachim Wuttke, 
Juan Bicarregui, 
Karl Gumerlock, 
Krister Larsson, 
Michael Toney, 
Milan Prica, 
Mirjam van Daalen, 
Pilar Cos Alvarez, 
Rainer Stotzka, 
Raymond Osborn, 
Robert Quick, 
Rolf Krahl, 
Stefanie Kethers, 
Steve Aplin, 
Steven Hartman, 
Thomas Jejkal, 
Thomas Proffen, 
Thorsten Kracht, 
Timea Biro, 
Tobias Richter, 
Tom Griffin, 
Volker Guelzow, 
Yin Chen, "
